contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title
Cariad Lloyd,8.0,Noel Fielding,4.0,Rhod Gilbert,-7.0,Alan Davies,-29.0,,,Friday 6th November 2015,,m,4. Miscellany
Aisling Bea,2.0,Sandi Toksvig,0.0,Susan Calman,-6.0,Alan Davies,-43.0,,,Friday 20th November 2015,,m,5. Maths
Jo Brand,7.0,Greg Davies,-4.0,Bill Bailey,-13.0,Alan Davies,-32.0,,,Friday 27th November 2015,,m,6. Marriage And Matings
Danny Bhoy,10.0,Jimmy Carr,5.0,Aisling Bea,-7.0,Alan Davies,-44.0,,,Friday 11th December 2015,,m,7. Middle Muddle
Alan Davies  (Alan's 26th victory),11.0,Johnny Vegas,8.0,Bill Bailey,-1.0,Jenny Eclair,-2.0,,,Saturday 19th December 2015,,m,Christmas Special: Merriment
Tommy Tiernan,2.0,Alan Davies,-6.0,Sarah Millican,-18.0,Josh Widdicombe,-22.0,,,Tuesday 29th December 2015,,m,9. Messing With Your Mind
Phill Jupitus,4.0,Cariad Lloyd,0.0,Dermot O'Leary,-10.0,Alan Davies,-16.0,,,Friday 8th January 2016,,m,10. Making A Meal Of It
Bill Bailey,-1.0,Alan Davies,-3.0,Romesh Ranganathan,-8.0,Sue Perkins,-28.0,,,Friday 15th January 2016,,m,11. Menagerie
Matt Lucas and Julia Zemiro,-6.0,David Mitchell,-10.0,Alan Davies,-25.0,,,,,Friday 22nd January 2016,,m,12. Medieval And Macabre
Phill Jupitus,6.0,Alan Davies,5.0,Sara Pascoe,-2.0,Josh Widdicombe,-7.0,,,Friday 29th January 2016,,m,13. Monster Mash
Alan Davies  (Alan's 27th victory),-1.0,Eddie Kadi,-4.0,Noel Fielding,-14.0,Sarah Millican,-15.0,,,Friday 5th February 2016,,m,14. Messy
Jo Brand,8.0,James Acaster,-7.0,Bill Bailey,-32.0,Alan Davies,-41.0,,,Friday 12th February 2016,,m,15. Mix And Match
Chris Addison,0.0,Sue Perkins,-6.0,Sara Cox,-13.0,Alan Davies,-54.0,,,Friday 19th February 2016,,m,16. Misconceptions
,,,,,,,,,,Friday 4th March 2016,No scores found,m,Highlights Special: QI VG: Compilation Show 13
,,,,,,,,,,Friday 25th March 2016,No scores found,m,Highlights Special: QI VG: Compilation Show 14
Alan Davies  (Alan's 27th victory),7.0,Cariad Lloyd,5.0,Romesh Ranganathan,4.0,Phill Jupitus,-2.0,,,Friday 21st October 2016,,n,1. Naming Names
Alan Davies  (Alan's 28th victory),12.0,Lucy Beaumont,2.0,Jason Manford,-16.0,Rhod Gilbert,-22.0,,,Friday 28th October 2016,,n,2. North Norse
Alan Davies  (Alan's 29th victory),8.0,Aisling Bea,-2.0,Ross Noble,-4.0,Corey Taylor,-9.0,,,Friday 4th November 2016,,n,3. Nosey Noisy
Jason Manford,8.0,Jeremy Clarkson,-5.0,Sara Pascoe,-21.0,Alan Davies,-64.0,,,Friday 11th November 2016,,n,4. Noble Rot
Gyles Brandreth,-1.0,Alan Davies,-5.0,Victoria Coren Mitchell,-8.0,Jimmy Carr,-21.0,,,Friday 25th November 2016,,n,5. Not Nearly
Holly Walsh,3.0,Noel Fielding,-8.0,Alan Davies,-10.0,David Mitchell,-37.0,,,Friday 2nd December 2016,,n,6. Night
Richard Osman,1.0,Lolly Adefope,-8.0,Lee Mack,-20.0,Alan Davies,-35.0,,,Friday 9th December 2016,,n,7. Naked Truth
Miles Jupp,2.0,Alan Davies,-2.0,Phill Jupitus,-5.0,Deirdre O'Kane,-16.0,,,Friday 16th December 2016,,n,8. Non Sequiturs
,,,,,,,,,,Thursday 22nd December 2016,"- Everyone is made a winner, but the marzipan pig is awarded to Alan. (Alan's 30th victory)",n,Christmas Special: Noel
Ross Noble,-4.0,Cariad Lloyd,-5.0,David Baddiel,-16.0,Alan Davies,-23.0,,,Friday 30th December 2016,,n,10. Nature/Nurture
Nish Kumar and Phill Jupitus,3.0,Alan Davies,-4.0,Holly Walsh,-6.0,,,,,Friday 6th January 2017,,n,11. Nonsense
Cariad Lloyd,7.0,Jerry Springer,-26.0,Matt Lucas,-36.0,Alan Davies,-56.0,,,Friday 13th January 2017,,n,12. Noodles
Ronni Ancona,7.0,Johnny Vegas,1.0,Jimmy Carr,-2.0,Alan Davies,-36.0,,,Friday 20th January 2017,,n,13. Naval Navigation
"Sarah Millican  (but is declared the winner by Sandi as a way of apologising to her, because Sandi was meant to be doing a gig with her, but let her down because she got the job of hosting QI)",-26.0,Noel Fielding,1.0,Colin Lane,-9.0,Alan Davies,-41.0,,,Friday 27th January 2017,,n,14. Numbers
Ross Noble,6.0,Frankie Boyle,5.0,Lucy Porter,-4.0,The Audience,-10.0,Alan Davies,-25.0,Friday 3rd February 2017,,n,15. Next
Jimmy Carr,-5.0,Clive Anderson,-16.0,Jo Brand,-19.0,Alan Davies,-25.0,,,Friday 10th February 2017,,n,16. New
,,,,,,,,,,Friday 17th February 2017,No scores found,n,Highlights Special: QI VG: Compilation Show 15 (Next)
,,,,,,,,,,Friday 24th February 2017,No scores found,n,Highlights Special: QI VG: Compilation Show 16
