contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title,alan_score,did_alan_win
Colin Lane,2.0,Alan Davies,0.0,Jo Brand,-18.0,David Mitchell,-48.0,N/A,,2015-01-23,No scores found,l,16. Landmarks,0.0,0
Lucy Porter,9.0,Ross Noble,7.0,Matt Lucas,-5.0,Alan Davies,-44.0,N/A,,2015-10-16,,m,1. A Medley Of Maladies,-44.0,0
Sheila Hancock,-2.0,Jimmy Carr,-8.0,Jeremy Clarkson,-13.0,Alan Davies,-14.0,N/A,,2015-10-23,,m,2. Military Matters,-14.0,0
David Mitchell,-4.0,Sue Perkins,0.0,Alan Davies,0.0,Sami Saha,0.0,N/A,,2015-10-30,- David Mitchell: -4 points.- Sami Saha: No score given.- Alan Davies: No score given.- Sue Perkins: No score given.,m,3. M-Places,0.0,1
Cariad Lloyd,8.0,Noel Fielding,4.0,Rhod Gilbert,-7.0,Alan Davies,-29.0,N/A,,2015-11-06,,m,4. Miscellany,-29.0,0
Aisling Bea,2.0,Sandi Toksvig,0.0,Susan Calman,-6.0,Alan Davies,-43.0,N/A,,2015-11-20,,m,5. Maths,-43.0,0
Jo Brand,7.0,Greg Davies,-4.0,Bill Bailey,-13.0,Alan Davies,-32.0,N/A,,2015-11-27,,m,6. Marriage And Matings,-32.0,0
Danny Bhoy,10.0,Jimmy Carr,5.0,Aisling Bea,-7.0,Alan Davies,-44.0,N/A,,2015-12-11,,m,7. Middle Muddle,-44.0,0
Alan Davies,11.0,Johnny Vegas,8.0,Bill Bailey,-1.0,Jenny Eclair,-2.0,N/A,,2015-12-19,,m,Christmas Special: Merriment,11.0,1
Tommy Tiernan,2.0,Alan Davies,-6.0,Sarah Millican,-18.0,Josh Widdicombe,-22.0,N/A,,2015-12-29,,m,9. Messing With Your Mind,-6.0,0
Phill Jupitus,4.0,Cariad Lloyd,0.0,Dermot O'Leary,-10.0,Alan Davies,-16.0,N/A,,2016-01-08,,m,10. Making A Meal Of It,-16.0,0
Bill Bailey,-1.0,Alan Davies,-3.0,Romesh Ranganathan,-8.0,Sue Perkins,-28.0,N/A,,2016-01-15,,m,11. Menagerie,-3.0,0
Matt Lucas,-6.0,David Mitchell,-10.0,Alan Davies,-25.0,Julia Zemiro,-6.0,N/A,,2016-01-22,,m,12. Medieval And Macabre,-25.0,0
Phill Jupitus,6.0,Alan Davies,5.0,Sara Pascoe,-2.0,Josh Widdicombe,-7.0,N/A,,2016-01-29,,m,13. Monster Mash,5.0,0
Alan Davies,-1.0,Eddie Kadi,-4.0,Noel Fielding,-14.0,Sarah Millican,-15.0,N/A,,2016-02-05,,m,14. Messy,-1.0,1
Jo Brand,8.0,James Acaster,-7.0,Bill Bailey,-32.0,Alan Davies,-41.0,N/A,,2016-02-12,,m,15. Mix And Match,-41.0,0
Chris Addison,0.0,Sue Perkins,-6.0,Sara Cox,-13.0,Alan Davies,-54.0,N/A,,2016-02-19,,m,16. Misconceptions,-54.0,0
Alan Davies,7.0,Cariad Lloyd,5.0,Romesh Ranganathan,4.0,Phill Jupitus,-2.0,N/A,,2016-10-21,,n,1. Naming Names,7.0,1
Alan Davies,12.0,Lucy Beaumont,2.0,Jason Manford,-16.0,Rhod Gilbert,-22.0,N/A,,2016-10-28,,n,2. North Norse,12.0,1
Alan Davies,8.0,Aisling Bea,-2.0,Ross Noble,-4.0,Corey Taylor,-9.0,N/A,,2016-11-04,,n,3. Nosey Noisy,8.0,1
Jason Manford,8.0,Jeremy Clarkson,-5.0,Sara Pascoe,-21.0,Alan Davies,-64.0,N/A,,2016-11-11,,n,4. Noble Rot,-64.0,0
Gyles Brandreth,-1.0,Alan Davies,-5.0,Victoria Coren Mitchell,-8.0,Jimmy Carr,-21.0,N/A,,2016-11-25,,n,5. Not Nearly,-5.0,0
Holly Walsh,3.0,Noel Fielding,-8.0,Alan Davies,-10.0,David Mitchell,-37.0,N/A,,2016-12-02,,n,6. Night,-10.0,0
Richard Osman,1.0,Lolly Adefope,-8.0,Lee Mack,-20.0,Alan Davies,-35.0,N/A,,2016-12-09,,n,7. Naked Truth,-35.0,0
Miles Jupp,2.0,Alan Davies,-2.0,Phill Jupitus,-5.0,Deirdre O'Kane,-16.0,N/A,,2016-12-16,,n,8. Non Sequiturs,-2.0,0
Susan Calman,0.0,Alan Davies,0.0,Matt Lucas,0.0,Josh Widdicombe,0.0,N/A,,2016-12-22,"- Everyone is made a winner, but the marzipan pig is awarded to Alan. (Alan's 30th victory)",n,Christmas Special: Noel,0.0,1
Ross Noble,-4.0,Cariad Lloyd,-5.0,David Baddiel,-16.0,Alan Davies,-23.0,N/A,,2016-12-30,,n,10. Nature/Nurture,-23.0,0
Nish Kumar,3.0,Alan Davies,-4.0,Holly Walsh,-6.0,Phill Jupitus,3.0,N/A,,2017-01-06,,n,11. Nonsense,-4.0,0
Cariad Lloyd,7.0,Jerry Springer,-26.0,Matt Lucas,-36.0,Alan Davies,-56.0,N/A,,2017-01-13,,n,12. Noodles,-56.0,0
Ronni Ancona,7.0,Johnny Vegas,1.0,Jimmy Carr,-2.0,Alan Davies,-36.0,N/A,,2017-01-20,,n,13. Naval Navigation,-36.0,0
Sarah Millican,-26.0,Noel Fielding,1.0,Colin Lane,-9.0,Alan Davies,-41.0,N/A,,2017-01-27,,n,14. Numbers,-41.0,0
Ross Noble,6.0,Frankie Boyle,5.0,Lucy Porter,-4.0,The Audience,-10.0,Alan Davies,-25.0,2017-02-03,,n,15. Next,-25.0,0
